,Pressure (PSI),	Welding Time (ms),	Angle (Deg),	Force (N),	Current (A),	Thickness A (mm),	Thickness B (mm),	PullTest (N),	NuggetDiameter (mm)
0,0.0,0.0,0.0,0.42575151593342797,0.27687763167940055,0.0005004892603346221,0.0004941462672951194,0.16318638824439285,0.25886524822695034
1,0.0,0.0,0.0,0.44041629037113494,0.28119206879608805,0.0005004892603346221,0.0004941462672951194,0.16318638824439285,0.25886524822695034
2,0.0,0.0,0.0,0.4550810648088419,0.23108273970672005,0.0005004892603346221,0.0004941462672951194,0.16318638824439285,0.25886524822695034
3,0.0,0.9999999999999999,0.0,0.42575151593342797,0.3754832698108812,0.0004972809958452976,0.0005020652779889514,0.8953414312360676,0.5106382978723405
4,0.0,0.9999999999999999,0.0,0.44041629037113494,0.4141076612579599,0.0004972809958452976,0.0005020652779889514,0.8953414312360676,0.5106382978723405
5,0.0,0.9999999999999999,0.0,0.4550810648088419,0.3933576460869582,0.0004972809958452976,0.0005020652779889514,0.8953414312360676,0.5106382978723405
6,0.0,0.9999999999999999,0.0,0.4697888444501785,0.37529730269378264,0.0004972809958452976,0.0005020652779889514,0.8953414312360676,0.5106382978723405
7,0.0,0.9999999999999999,0.0,0.48458263449877437,0.36208972228257996,0.0004972809958452976,0.0005020652779889514,0.8953414312360676,0.5106382978723405
8,0.0,0.9999999999999999,0.0,0.49959145056551846,0.39529170410478365,0.0004972809958452976,0.0005020652779889514,0.8953414312360676,0.5106382978723405
9,0.0,0.9999999999999999,0.0,0.5146002666322625,0.393710004835145,0.0004972809958452976,0.0005020652779889514,0.8953414312360676,0.5106382978723405
10,0.0,0.9999999999999999,0.0,0.5296090826990066,0.3653431680575049,0.0004972809958452976,0.0005020652779889514,0.8953414312360676,0.5106382978723405
11,0.0,0.9999999999999999,0.0,0.5445748935621211,0.3653431680575049,0.0004972809958452976,0.0005020652779889514,0.8953414312360676,0.5106382978723405
12,0.0,0.9999999999999999,0.0,0.5596267148324947,0.3564656851517981,0.0004972809958452976,0.0005020652779889514,0.8953414312360676,0.5106382978723405
13,0.0,0.9999999999999999,0.0,0.5747215413064981,0.370824304140411,0.0004972809958452976,0.0005020652779889514,0.8953414312360676,0.5106382978723405
14,0.0,0.9999999999999999,0.0,0.5898163677805015,0.37194793703740675,0.0004972809958452976,0.0005020652779889514,0.8953414312360676,0.5106382978723405
15,0.0,0.9999999999999999,0.0,0.6049111942545048,0.39860779143494185,0.0004972809958452976,0.0005020652779889514,0.8953414312360676,0.5106382978723405
16,0.0,0.9999999999999999,0.0,0.6200490259321378,0.35411271173335057,0.0004972809958452976,0.0005020652779889514,0.8953414312360676,0.5106382978723405
17,0.0,0.9999999999999999,0.0,0.6352298628134004,0.3691329821491143,0.0004972809958452976,0.0005020652779889514,0.8953414312360676,0.5106382978723405
18,0.0,0.9999999999999999,0.0,0.6504537048982928,0.4137729204471824,0.0004972809958452976,0.0005020652779889514,0.8953414312360676,0.5106382978723405
19,0.9999999999999999,0.9999999999999999,0.0,0.6656345417795554,0.3564656851517981,0.0005357801697171915,0.0005052328822664843,0.6559073745507484,0.8971631205673758
20,0.9999999999999999,0.9999999999999999,0.0,0.6866210811508193,0.2946893664002443,0.0005357801697171915,0.0005052328822664843,0.6559073745507484,0.8971631205673758
21,0.9999999999999999,0.9999999999999999,0.0,0.7076076205220833,0.27992944994841856,0.0005357801697171915,0.0005052328822664843,0.6559073745507484,0.8971631205673758
