,용접 가압력,전류,전압,통전시간
0,0.004481651,0.001716984,0.002505742,0.000460829
1,0.005411804,0.000500787,0.002505742,0.000921659
2,0.004989007,0.000357705,0.507830445,0.000921659
3,0.005242686,0.000357705,0.002505742,0.000921659
4,0.005327245,0.000143082,0.002505742,0.000460829
5,0.005327245,0.000143082,0.002505742,0.000921659
6,0.005242686,0.000286164,0.002505742,0.000921659
7,0.005073567,0.000286164,0.002505742,0.000460829
8,0.005158126,7.15E-05,0.002505742,0.000921659
9,0.004989007,7.15E-05,0.508874504,0
10,0.004904448,0.000357705,0.002505742,0.000460829
11,0.004904448,0.000357705,0.002505742,0.000921659
12,0.004989007,0.000500787,0.002505742,0.000921659
13,0.005242686,0.000500787,0.002505742,0.000921659
14,0.005327245,0.000500787,0.002505742,0.001382488
15,0.005327245,0.000500787,0.002505742,0.000460829
16,0.414848639,0.000500787,0.002505742,0.000460829
17,0.005242686,0.000500787,0.002505742,0.000921659
18,0.005158126,0.000429246,0.002610148,0.000921659
19,0.005242686,0.000214623,0.002505742,0.000921659
20,0.005242686,0.000214623,0.002505742,0.000921659
21,0.005073567,0.000214623,0.002505742,0.000921659
22,0.005073567,0.000214623,0.002505742,0.000921659
23,0.005242686,0.000357705,0.002505742,0.000460829
24,0.005242686,0.000357705,0.002505742,0.000460829
25,0.467275495,0.000429246,0.002505742,0.000460829
26,0.005411804,0.000429246,0.608060138,0.000460829
27,0.004735329,0.000643869,0.002505742,0.000460829
28,0.004735329,0.000643869,0.002505742,0.000921659
29,0.005242686,0.000286164,0.002505742,0.001382488
30,0.005242686,0.000286164,0.002505742,0.000460829
31,0.005411804,0.000500787,0.002610148,0.000921659
32,0.005411804,0.000500787,0.002610148,0.000460829
33,0.005242686,0.28959794,0.002610148,0.000921659
34,0.005242686,0.000500787,0.002610148,0.001382488
35,0.004989007,0.000357705,0.002505742,0.000460829
36,0.005242686,0.000357705,0.002505742,0.000921659
37,0.005411804,0.00071541,0.002505742,0.000921659
38,0.004819888,0.00071541,0.002505742,0.000921659
39,0.004735329,0.000643869,0.002505742,0.000460829
40,0.004735329,0.000643869,0.002505742,0.000921659
41,0.005073567,0.000643869,0.002401336,0.000921659
42,0.005073567,0.000643869,0.002401336,0.000460829
43,0.004989007,0.000643869,0.002505742,0.000921659
44,0.004989007,0.000643869,0.002505742,0
45,0.005327245,0.000572328,0.002505742,0.000460829
46,0.005327245,0.000572328,0.002505742,0.000921659
47,1,0.000572328,0.002610148,0.000921659
48,0.004819888,0.000572328,0.002610148,0.000921659
49,0.005242686,0.000357705,0.002610148,0.001382488
50,0.005242686,0.000357705,0.002610148,0.000460829
51,0.005158126,0.000500787,0.002610148,0.000460829
52,0.005158126,0.000500787,0.002610148,0.000921659
53,0.005411804,0.000500787,0.002505742,0.000921659
54,0.005411804,0.000500787,0.002505742,0.000921659
55,0.940808388,0.000500787,0.002505742,0.000921659
56,0.005073567,0.000500787,0.002505742,0.000921659
57,0.005158126,0.000572328,0.002401336,0.000921659
58,0.005158126,0.000572328,0.002401336,0.000921659
59,0.005327245,0.325368436,0.002401336,0.000460829
60,0.005327245,0.000500787,0.002401336,0.000460829
61,0.005073567,0.000786951,0.002505742,0.000460829
62,0.005073567,0.000786951,0.002505742,0.000460829
63,0.004735329,0.000429246,0.002610148,0.000460829
64,0.004735329,0.000429246,0.002610148,0.000921659
65,0.004819888,0.000572328,0.002610148,0.001382488
66,0.004819888,0.000572328,0.002610148,0.000460829
67,0.004312532,0.00071541,0.002610148,0.000921659
68,0.004312532,0.00071541,0.002610148,0.000460829
69,0.003805175,0.000643869,0.002610148,0.000921659
70,0.003805175,0.000643869,0.002610148,0.001382488
71,0.003636056,0.000858492,0.002505742,0.000460829
72,0.003636056,0.000858492,0.002505742,0.000921659
73,0.003551497,0.000858492,0.002505742,0.000921659
74,0.003551497,0.000858492,0.002505742,0.000921659
75,0.003720616,0.000930033,0.002505742,0.000921659
76,0.004397091,0.000572328,0.002505742,0.000921659
77,0.004397091,0.000572328,0.002505742,0.000921659
78,0.005242686,0.000357705,0.002505742,0.000460829
79,0.005242686,0.000357705,0.002505742,0.000460829
80,0.005327245,0.000572328,0.002610148,0.000921659
81,0.005327245,0.38474746,0.002610148,0.000460829
82,0.005411804,0.000500787,0.002505742,0.001382488
83,0.005411804,0.000500787,0.002505742,0.000921659
84,0.005158126,0.000214623,0.002505742,0.000921659
85,0.005158126,0.000214623,0.002505742,0.000921659
86,0.005411804,0.000429246,0.002505742,0.000921659
87,0.005411804,0.000429246,0.002505742,0.000921659
88,0.005158126,0.000429246,0.002505742,0.000921659
89,0.005158126,0.000429246,0.002505742,0.000921659
90,0.005327245,0.000214623,0.002505742,0.000921659
91,0.005327245,0.000214623,0.002505742,0.000921659
92,0.005496364,0.000357705,0.002610148,0.000460829
93,0.005496364,0.000357705,0.002610148,0.000460829
94,0.005158126,0.532837316,0.002610148,0.000921659
95,0.005158126,0.000429246,0.002610148,0.000460829
96,0.005411804,0.000214623,0.002610148,0.001382488
97,0.004989007,0.000214623,0.002610148,0.000921659
98,0.005411804,0.000500787,0.002505742,0.000921659
99,0.004989007,0.000500787,0.002505742,0.000921659
100,0.005411804,0.000429246,0.002505742,0.000921659
101,0.004989007,0.000429246,0.002505742,0.000921659
102,0.005327245,0.000429246,0.002505742,0.000460829
103,0.005327245,0.000429246,0.002505742,0.000921659
104,0.005073567,0.000572328,0.002401336,0.000921659
105,0.005242686,0.000572328,0.002401336,0.000460829
106,0.005327245,0.000286164,0.002505742,0.000921659
107,0.005158126,0.000286164,0.002505742,0
108,0.005496364,0.000357705,0.002505742,0.000460829
109,0.005496364,0.000357705,0.002505742,0.000921659
110,0.005411804,0.000357705,0.002610148,0.000921659
111,0.005411804,0.000357705,0.002610148,0.000921659
112,0.005411804,0.000143082,0.002610148,0.001382488
113,0.005411804,0.000143082,0.002610148,0.000460829
114,0.005411804,0.000214623,0.002505742,0.000460829
115,0.005411804,0.000214623,0.002505742,0.000921659
116,0.005327245,0.000429246,0.002505742,0.000921659
117,0.005327245,0.000429246,0.002505742,0.000921659
118,0.005242686,0.000429246,0.002505742,0.000921659
119,0.005242686,0.000429246,0.002505742,0.000921659
120,0.005327245,0.000643869,0.002505742,0.000921659
121,0.005327245,0.000643869,0.002505742,0.000921659
122,0.005242686,0.000500787,0.002505742,0.000460829
123,0.005242686,0.000500787,0.002505742,0.000460829
124,0.005327245,0.000429246,0.002505742,0.000460829
125,0.005327245,0.000429246,0.002505742,0.000460829
126,0.005411804,0.000500787,0.002505742,0.000460829
127,0.005411804,7.15E-05,0.002610148,0.001382488
128,0.005411804,7.15E-05,0.002610148,0.000460829
129,0.005496364,0.000357705,0.002505742,0.000921659
130,0.005496364,0.000357705,0.002505742,0.000460829
131,0.005411804,0.000357705,0.002505742,0.000921659
132,0.005411804,0.000357705,0.002505742,0.001382488
133,0.005411804,0.000286164,0.002505742,0.000460829
134,0.005411804,0.000286164,0.002505742,0.000921659
135,0.005496364,0.000500787,0.002505742,0.000921659
136,0.005496364,0.000500787,0.002505742,0.000921659
137,0.005327245,0.000429246,0.002505742,0.000921659
138,0.005327245,0.000429246,0.002505742,0.000921659
139,0.005411804,0.000143082,0.002610148,0.000921659
140,0.005411804,0.000143082,0.002610148,0.000921659
141,0.005411804,0.000143082,0.002505742,0.000460829
142,0.005411804,0.000143082,0.002505742,0.000460829
143,0.005496364,0.000286164,0.002610148,0.000921659
144,0.005496364,0.000286164,0.002610148,0.000460829
145,0.414848639,0,0.002610148,0.001382488
146,0.414848639,0,0.002610148,0.000921659
147,0.005327245,0.000500787,0.002505742,0.000921659
148,0.005327245,0.000500787,0.002505742,0.000921659
149,0.005411804,0.000357705,0.002505742,0.000921659
150,0.005411804,0.000357705,0.002505742,0.000921659
151,0.005327245,0.000500787,0.002505742,0.000921659
152,0.005327245,0.000500787,0.002505742,0.000921659
153,0.005327245,0.000357705,0.002505742,0.000921659
154,0.005327245,0.000357705,0.002505742,0.000921659
155,0.005327245,0.000429246,0.002505742,0.000921659
156,0.005327245,0.000429246,0.002505742,0.000921659
157,0.005496364,0.000429246,0.002610148,0.000921659
158,0.005496364,0.000429246,0.002610148,0.000921659
159,0.005411804,0.000214623,0.002610148,0.000921659
160,0.005411804,0.000214623,0.002610148,0.000921659
161,0.005411804,0.000286164,0.002610148,0.000921659
162,0.005411804,0.000286164,0.002610148,0.000921659
163,0.005411804,0.000500787,0.002505742,0.000921659
164,0.005411804,0.000500787,0.002505742,0.000921659
165,0.005242686,0.000429246,0.002505742,0.000921659
166,0.005242686,0.000429246,0.002505742,0.000921659
167,0.005411804,0.000357705,0.002505742,0.000921659
168,0.005411804,0.000357705,0.002505742,0.000921659
169,0.005242686,0.000572328,0.002401336,0.000921659
170,0.005242686,0.000572328,0.002401336,0.000921659
171,0.005496364,0.000429246,0.002505742,0.000921659
172,0.005496364,0.000429246,0.002505742,0.000921659
173,0.005411804,0.000357705,0.002505742,0.000921659
174,0.005411804,0.000357705,0.002505742,0.000921659
175,0.005496364,0.000143082,0.002610148,0.000921659
176,0.005496364,0.000143082,0.002610148,0.000921659
177,0.005411804,0.000572328,0.002610148,0.000921659
178,0.005411804,0.000572328,0.002610148,0.000460829
179,0.005242686,0.000500787,0.002505742,0.000921659
180,0.005242686,0.000500787,0.002505742,0.000921659
181,0.005242686,0.000357705,0.002505742,0.000460829
182,0.005242686,0.000357705,0.002505742,0.000921659
183,0.005327245,0.000500787,0.002505742,0
184,0.005327245,0.000500787,0.002505742,0.000460829
185,0.005242686,0.000858492,0.002505742,0.000921659
186,0.005242686,0.000858492,0.002505742,0.000921659
187,0.005411804,0.000500787,0.002505742,0.000921659
188,0.005411804,0.000500787,0.002505742,0.001382488
189,0.005411804,0.000357705,0.002505742,0.000460829
190,0.005411804,0.000357705,0.002505742,0.000460829
191,0.005327245,0.000286164,0.002505742,0.000921659
192,0.005327245,0.000286164,0.002505742,
193,0.005327245,0.000429246,0.002505742,0.000921659
194,0.005327245,0.000429246,0.002505742,0.000921659
195,0.005411804,0.000357705,0.002505742,0.000921659
196,0.005411804,0.000357705,0.002505742,0.000921659
197,0.005327245,0.000572328,0.002505742,0.000921659
198,0.005327245,0.000572328,0.002505742,0.000460829
199,0.005242686,0.000357705,0.002505742,0.000460829
200,0.005242686,0.000357705,0.002505742,0.000460829
201,0.005496364,0.000500787,0.002505742,0.000460829
202,0.005496364,0.000500787,0.002505742,0.000460829
203,0.005411804,0.000500787,0.002505742,0.000921659
204,0.005411804,0.000500787,0.002505742,0.001382488
205,0.005242686,0.000500787,0.002610148,0.000460829
206,0.005242686,0.000500787,0.002610148,0.000921659
207,0.005411804,0.000500787,0.002610148,0.000460829
208,0.005411804,0.000500787,0.002610148,0.000921659
209,0.005411804,0.000214623,0.002610148,0.001382488
210,0.005411804,0.000214623,0.002610148,0.000460829
211,0.005411804,0.000572328,0.002505742,0.000921659
212,0.005411804,0.000572328,0.002505742,0.000921659
213,0.005242686,0.000500787,0.002505742,0.000921659
214,0.005242686,0.000500787,0.002505742,0.000460829
215,0.005242686,0.000429246,0.002401336,0.000921659
216,0.005242686,0.000429246,0.002401336,0.000921659
217,0.005411804,0.000357705,0.002505742,0.000460829
218,0.005411804,0.000357705,0.002505742,0.000921659
219,0.005327245,0.000286164,0.002505742,0
220,0.005327245,0.000286164,0.002505742,0.000460829
221,0.005327245,0.000214623,0.002505742,0.000921659
222,0.005327245,0.000214623,0.002505742,0.000921659
223,0.005496364,0.000286164,0.002610148,0.000921659
224,0.005496364,0.000286164,0.002610148,0.001382488
225,0.005411804,7.15E-05,0.002610148,0.000460829
226,0.005411804,7.15E-05,0.002610148,0.000460829
227,0.005327245,0.000429246,0.002610148,0.000921659
228,0.005327245,0.000429246,0.002610148,0.000921659
229,0.005073567,0.000429246,0.002505742,0.000921659
230,0.005073567,0.000429246,0.002505742,0.000921659
231,0.005158126,0.000572328,0.002505742,0.000921659
232,0.005158126,0.000572328,0.002505742,0.000921659
233,0.005242686,0.00071541,0.002505742,0.000921659
234,0.005242686,0.00071541,0.002505742,0.000460829
235,0.005073567,0.000429246,0.002505742,0.000460829
236,0.005073567,0.000429246,0.002505742,0.000460829
237,0.005327245,0.000500787,0.002505742,0.000460829
238,0.005327245,0.000500787,0.002505742,0.000460829
239,0.005411804,0.000286164,0.002610148,0.000921659
240,0.005411804,0.000286164,0.002610148,0.001382488
241,0.005327245,0.000429246,0.002610148,0.000460829
242,0.005327245,0.000429246,0.002610148,0.000921659
243,0.005327245,0.000286164,0.002610148,0.000921659
244,0.005242686,0.000214623,0.002505742,0.001382488
245,0.005242686,0.000214623,0.002505742,0.000460829
246,0.005242686,0.000429246,0.002505742,0.000921659
247,0.005242686,0.000429246,0.002505742,0.000921659
248,0.005327245,0.000429246,0.002505742,0.000921659
249,0.005327245,0.000429246,0.002505742,0.000921659
250,0.005242686,0.000643869,0.002505742,0.000921659
251,0.005242686,0.000643869,0.002505742,0.000921659
252,0.005411804,0.000643869,0.002610148,0.000921659
253,0.005411804,0.000643869,0.002610148,0.000460829
254,0.005411804,0.000429246,0.002610148,0.000460829
255,0.005411804,0.000429246,0.002610148,0.000921659
256,0.005411804,0.000572328,0.002610148,0.000460829
257,0.005411804,0.000572328,0.002610148,0.001382488
258,0.005242686,0.000357705,0.002505742,0.000921659
259,0.005242686,0.000357705,0.002505742,0.000921659
260,0.005411804,0.000429246,0.002505742,0.000921659
261,0.005411804,0.000429246,0.002505742,0.000921659
262,0.005327245,0.00071541,0.002505742,0.000921659
263,0.005327245,0.00071541,0.002505742,0.000921659
264,0.005158126,0.000429246,0.002505742,0.000921659
265,0.005158126,0.000429246,0.002505742,0.000921659
266,0.005411804,0.000643869,0.002505742,0.000921659
267,0.005411804,0.000643869,0.002505742,0.000460829
